"COUNTRY","Country","Continent","Region","LifeExpectancy","GNI","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","Internet","Physicians","HDI","Schooling1","Schooling2"
"82","IRQ","Iraq","Asia","Middle East & North Africa",72.42317,2380,21.31639,38274.618,55.42,8.05996,13.2,7.1,9.663,0.686,12.08747317,7.905593489
"83","ISL","Iceland","Europe","Europe & Central Asia",82.32826,33890,1.54225,341.284,5.81,1.18256,28.3,96,41.416,0.959,19.16305923,13.76716995
"84","ISR","Israel","Asia","Middle East & North Africa",82.62151,27270,2.90476,8712.4,18.52,1.22104,29.8,73.36501,36.259,0.919,16.05088997,13.3448664
"85","ITA","Italy","Europe","Europe & Central Asia",82.97414,35530,2.46951,60551.416,14.84,0.67465,31.4,58,39.477,0.895,16.22678947,10.7401104
"86","JAM","Jamaica","Americas","Latin America & Caribbean",75.97828,4700,11.43191,2890.299,14.86,50.34436,17.17473,46.5,5.268,0.709,13.40492042,9.154628661
"87","JOR","Jordan","Asia","Middle East & North Africa",77.87197,4140,12.92279,9702.353,33.2,3.8269,14.7,41,26.614,0.72,10.64655972,10.44668007
"88","JPN","Japan","Asia","East Asia & Pacific",84.26138,42050,1.81973,126785.797,13.42,0.20955,129.8,79.05,24.796,0.925,15.22162588,13.36610034
"89","KAZ","Kazakhstan","Asia","Europe & Central Asia",73.95099,7500,8.91614,18037.646,17.84,5.11812,60.569,53.31567,40.712,0.811,15.76500034,12.34756189
"90","KEN","Kenya","Africa","Sub-Saharan Africa",66.08511,810,31.1535,49699.862,26.6,2.1587,14,32.09542,1.565,0.575,10.69855835,6.652
"91","KGZ","Kyrgyzstan","Asia","Europe & Central Asia",74.18089,840,15.66933,6201.5,23.88,4.584,44.132,21.72351,22.13,0.692,13.1953001,11.37410556
"92","KHM","Cambodia","Asia","East Asia & Pacific",70.12289,750,22.04502,16005.373,25.05,3.5008,9,4.93986,1.927,0.593,11.46772,5.088
"93","KIR","Kiribati","Oceania","East Asia & Pacific",59.41902,2010,39.20987,116.398,11.07,7.41054,18.6,10.7468,2.039,0.624,11.801993,7.984461822
"94","KNA","Saint Kitts and Nevis","Americas","Latin America & Caribbean",NA,12360,12.58027,55.345,9.73,NA,NA,79.3489,27.672,0.777,15.42769157,8.662745
"95","KOR","Republic of Korea","Asia","East Asia & Pacific",83.3047,19720,2.59201,51466.201,26.41,0.54822,124.3,84.1,24.843,0.925,16.52173996,12.51293027
"96","KWT","Kuwait","Asia","Middle East & North Africa",80.96625,48900,7.58401,4136.528,62.59,2.45748,20.4,79.1782,23.416,0.831,15.32443332,7.328022618
"97","LAO","Lao People's Democratic Republic","Asia","East Asia & Pacific",68.51331,1010,35.33814,6858.16,20.46,3.79742,15,10.74768,3.539,0.607,10.13611031,5.374
"98","LBN","Lebanon","Asia","Middle East & North Africa",76.43958,8750,5.97186,6082.357,30.66,4.15122,27.3,61.24979,22.071,0.706,11.28587,8.718636
"99","LBR","Liberia","Africa","Sub-Saharan Africa",64.07872,210,58.14601,4731.906,52.28,14.77516,8,3.7941,0.51,0.481,10.42078972,5.082
"100","LBY","Libya","Africa","Middle East & North Africa",75.77909,NA,9.53381,6374.616,49.23,0.87227,32,19.8637,20.905,0.718,12.85428,7.599985
"101","LCA","Saint Lucia","Americas","Latin America & Caribbean",74.32764,6200,22.01467,178.844,22.89,20.24128,12.97213,48.6281,6.409,0.715,12.86610985,8.545040131
"102","LIE","Liechtenstein","Europe","Europe & Central Asia",NA,NA,NA,37.922,NA,NA,NA,NA,NA,0.935,15.18157005,12.53854
"103","LKA","Sri Lanka","Asia","South Asia",76.86693,2260,5.92392,21444,16.54,0.7518,41.5,18.2854,12.291,0.782,14.13990486,10.82730007
"104","LSO","Lesotho","Africa","Sub-Saharan Africa",50.74881,1100,69.88058,2233.339,24.49,43.47237,13,4.58962,4.734,0.514,12.04087801,6.010184707
